원문 질문,쉬운 질문,답변
내원 절차가 어떻게 되나요?,병원 처음 가면 어떻게 해야 하나요?,"먼저 접수 창구에서 등록을 하고, 진료를 받은 뒤 수납을 하면 됩니다."
접수는 어디서 하나요?,병원 접수는 어디서 해요?,병원 입구 근처 접수 창구에서 접수하시면 됩니다.
수납은 어디서 하나요?,진료비는 어디서 내요?,진료가 끝난 후 수납 창구에서 결제하시면 됩니다.
진료 예약은 어떻게 하나요?,병원 예약은 어떻게 해요?,"전화나 인터넷, 또는 병원 방문으로 예약하실 수 있습니다."
초진 환자는 어떻게 하나요?,처음 병원 가는 사람은 어떻게 해요?,접수 창구에서 처음 방문이라고 말씀하시면 안내해드립니다.
진료 시간은 언제인가요?,병원 몇 시에 열어요?,병원마다 다르지만 보통 오전 9시부터 시작합니다.
진료과는 어떻게 찾나요?,내가 갈 과는 어디서 찾아요?,안내 데스크나 표지판을 보고 해당 진료과를 찾으시면 됩니다.
검사는 어디서 받나요?,검사 받으러 어디로 가요?,진료 후 안내받은 검사실로 이동하시면 됩니다.
대기 시간은 얼마나 되나요?,얼마나 기다려야 해요?,환자 수에 따라 다르지만 접수 후 안내받으실 수 있습니다.
진료 순서는 어떻게 되나요?,병원에서 순서가 어떻게 돼요?,접수 → 진료 → 검사(필요 시) → 수납 순서입니다.
예약 없이 방문해도 되나요?,예약 안 하고 가도 되나요?,가능하지만 대기 시간이 길어질 수 있습니다.
응급실은 어디에 있나요?,응급실은 어디로 가요?,병원 입구나 안내 표지판을 따라가시면 응급실이 있습니다.
처방전은 어디서 받나요?,약 처방은 어디서 받아요?,진료가 끝나면 의사가 처방전을 드립니다.
약은 어디서 받나요?,약은 어디서 타요?,병원 근처 약국에서 처방전을 제출하고 받으시면 됩니다.
입원 절차는 어떻게 되나요?,입원하려면 어떻게 해요?,진료 후 입원이 필요하면 병원에서 안내해드립니다.
퇴원은 어떻게 하나요?,병원에서 나갈 때는 어떻게 해요?,퇴원 안내를 받고 수납 후 퇴원하시면 됩니다.
검사 결과는 언제 나오나요?,검사 결과 언제 알 수 있어요?,검사 종류에 따라 다르며 보통 며칠 내에 확인 가능합니다.
주차는 어디에 하나요?,차는 어디에 세워요?,병원 주차장을 이용하시면 됩니다.
건강보험은 적용되나요?,보험 적용되나요?,대부분 진료는 건강보험이 적용됩니다.
