원문 질문,쉬운 질문,답변
병원 절차가 어떻게 되나요?,병원 이용 순서가 어떻게 되나요?,본관 1층 접수창구에서 신청 후 3층 진료실로 이동하세요. 진료 후 1층 수납창구를 이용하세요.
접수는 어디서 하나요?,어디서 신청하나요?,본관 1층 정문 오른쪽 접수창구에서 신청하시면 됩니다.
수납은 어디서 하나요?,진료비는 어디서 내나요?,본관 1층 중앙 로비 옆 수납창구에서 진료비를 내시면 됩니다.
진료 예약은 어떻게 하나요?,예약은 어떻게 하나요?,본관 1층 예약창구 또는 전화로 예약하실 수 있습니다.
초진 환자는 어떻게 하나요?,처음 방문하면 어떻게 하나요?,본관 1층 접수창구에서 처음 방문이라고 말씀하시면 됩니다.
진료 시간은 언제인가요?,병원은 몇 시에 시작하나요?,본관 1층 접수창구는 오전 9시부터 운영합니다.
진료과는 어떻게 찾나요?,어느 진료실로 가야 하나요?,본관 1층 안내데스크에서 진료과 위치를 안내받으실 수 있습니다.
검사는 어디서 받나요?,검사는 어디서 하나요?,검사 종류에 따라 본관 2층 검사실 또는 지하 1층 영상의학과로 이동합니다.
대기 시간은 얼마나 되나요?,얼마나 기다리나요?,본관 3층 대기실 전광판에서 순서를 확인하실 수 있습니다.
진료 순서는 어떻게 되나요?,진료는 어떤 순서인가요?,1층 접수 후 3층 진료실에서 진료를 받고 필요 시 검사를 진행합니다. 이후 1층 수납창구를 이용하세요.
예약 없이 방문해도 되나요?,예약 안 해도 되나요?,가능합니다. 본관 1층 접수창구에서 신청하시면 됩니다.
응급실은 어디에 있나요?,응급실은 어디 있나요?,응급실은 본관 1층 서쪽 출입구 옆에 있습니다.
처방전은 어디서 받나요?,약 처방 종이는 어디서 받나요?,진료 후 본관 3층 외래진료실에서 받으실 수 있습니다.
약은 어디서 받나요?,약은 어디서 타나요?,병원 정문 맞은편 약국에서 받으실 수 있습니다.
입원 절차는 어떻게 되나요?,입원하려면 어떻게 하나요?,본관 4층 입원상담실에서 안내받으실 수 있습니다.
퇴원은 어떻게 하나요?,퇴원은 어떻게 하나요?,별관 5층 병동 간호사실에서 안내받은 후 1층 수납창구를 이용하세요.
검사 결과는 언제 나오나요?,결과는 언제 알 수 있나요?,검사 결과는 본관 3층 외래진료실에서 확인 가능합니다.
주차는 어디에 하나요?,차는 어디에 세우나요?,병원 정문 앞 외래환자 주차장을 이용하시면 됩니다.
건강보험은 적용되나요?,보험이 되나요?,본관 1층 원무과에서 확인 가능합니다.
진료비는 얼마인가요?,병원비는 얼마인가요?,진료비는 본관 1층 수납창구에서 확인 가능합니다.
예약 변경은 어떻게 하나요?,예약 날짜를 바꿀 수 있나요?,본관 1층 예약창구에서 변경 가능합니다.
예약 취소는 어떻게 하나요?,예약을 취소할 수 있나요?,본관 1층 예약창구 또는 전화로 취소 가능합니다.
진료 기록은 확인할 수 있나요?,기록을 볼 수 있나요?,본관 1층 원무과에서 신청 가능합니다.
진단서는 어떻게 발급받나요?,진단서는 어디서 받나요?,본관 1층 제증명창구에서 발급 가능합니다.
의사 상담은 어떻게 받나요?,의사와 이야기할 수 있나요?,본관 3층 외래진료실에서 상담 가능합니다.
건강검진은 어떻게 신청하나요?,건강검진은 어디서 하나요?,본관 2층 건강검진센터에서 신청 가능합니다.
외래 진료는 무엇인가요?,외래 진료가 뭐예요?,본관 3층 외래진료실에서 받는 진료입니다.
재진은 어떻게 하나요?,다시 진료받으려면 어떻게 하나요?,본관 1층 접수창구에서 재진 접수를 하시면 됩니다.
진료카드는 어디서 만드나요?,진료카드는 어디서 받나요?,본관 1층 접수창구에서 발급 가능합니다.
진료과 변경은 가능한가요?,다른 과로 바꿀 수 있나요?,본관 1층 접수창구에서 변경 가능합니다.
병문안 시간은 언제인가요?,면회는 언제 되나요?,별관 5층 병동 간호사실에서 안내받으실 수 있습니다.
휠체어는 빌릴 수 있나요?,휠체어를 빌릴 수 있나요?,본관 1층 정문 안내데스크에서 대여 가능합니다.
안내 데스크는 어디에 있나요?,안내하는 곳은 어디인가요?,안내데스크는 본관 1층 정문 바로 앞에 있습니다.
응급 상황 시 어떻게 하나요?,급하면 어떻게 하나요?,본관 1층 응급실로 바로 이동하세요.
예약 확인은 어떻게 하나요?,예약됐는지 확인하려면요?,본관 1층 예약창구에서 확인 가능합니다.
진료 대기 번호는 어떻게 확인하나요?,순서는 어디서 보나요?,본관 3층 대기실 전광판에서 확인 가능합니다.
검사 전 준비는 무엇인가요?,검사 전에 뭘 해야 하나요?,본관 2층 검사실 접수창구에서 안내받으실 수 있습니다.
약 복용 방법은 어떻게 되나요?,약은 어떻게 먹나요?,본관 3층 외래진료실 또는 약국에서 안내받으실 수 있습니다.
부작용이 있으면 어떻게 하나요?,약 먹고 이상하면요?,본관 3층 외래진료실에 문의하세요.
병원비는 카드 결제 되나요?,카드로 낼 수 있나요?,본관 1층 수납창구에서 카드 결제가 가능합니다.
영수증은 받을 수 있나요?,영수증 받을 수 있나요?,본관 1층 수납창구에서 발급 가능합니다.
진료 확인서는 어떻게 받나요?,진료 확인서는 어디서 받나요?,본관 1층 제증명창구에서 발급 가능합니다.
진료 시간 변경은 가능한가요?,예약 시간을 바꿀 수 있나요?,본관 1층 예약창구에서 변경 가능합니다.
예약 없이 검사 가능한가요?,검사만 바로 받을 수 있나요?,본관 2층 검사실에서 가능 여부를 확인하실 수 있습니다.
병원 내 식당은 있나요?,밥 먹는 곳이 있나요?,별관 1층 식당을 이용하실 수 있습니다.
진료 지연 시 어떻게 하나요?,오래 기다리면 어떻게 하나요?,본관 3층 간호사실에 문의하시면 됩니다.
검사 비용은 얼마인가요?,검사비는 얼마인가요?,본관 2층 검사실 또는 1층 수납창구에서 확인 가능합니다.
진료 후 주의사항은 무엇인가요?,진료 후 조심할 것은 무엇인가요?,본관 3층 외래진료실에서 안내문을 받으실 수 있습니다.
