단어,단순화,카테고리
외래 접수,병원 진료 신청,행정
수납,진료비 내기,행정
진료과,진료받는 곳,행정
원무과,접수 및 수납 창구,행정
처방전,약 안내 종이,행정
진료 의뢰서,다른 병원 추천 문서,행정
소견서,의사 의견서,행정
진단서,병 진단 문서,행정
의무기록,진료 기록,행정
진료기록 사본,진료 기록 복사본,행정
건강보험증,건강보험 확인 카드,행정
초진,처음 받는 진료,행정
재진,다시 받는 진료,행정
예약 진료,미리 예약한 진료,행정
진료 예약,병원 방문 날짜 정하기,행정
입원 수속,병실 사용 신청,행정
퇴원 수속,병원 퇴실 절차,행정
보험 적용,건강보험 할인 적용,행정
접수 마감,진료 신청 종료,행정
예약 변경,예약 날짜 바꾸기,행정
예약 취소,예약 없애기,행정
본인 부담금,본인이 내는 진료비,행정
내과,몸 안쪽 질환 진료과,진료과
정형외과,뼈와 관절 치료하는 곳,진료과
신경외과,뇌와 신경 치료하는 곳,진료과
신경과,뇌와 신경 진료과,진료과
안과,눈 진료과,진료과
이비인후과,귀 코 목 진료과,진료과
피부과,피부 진료과,진료과
치과,치아 진료과,진료과
재활의학과,재활 치료 진료과,진료과
비뇨의학과,소변 관련 진료과,진료과
산부인과,여성 진료과,진료과
소아청소년과,어린이 진료과,진료과
응급의학과,응급 환자 진료과,진료과
영상의학과,X-ray나 CT 검사하는 곳,진료과
채혈,피 검사,검사
혈액검사,피 검사,검사
소변검사,오줌 검사,검사
혈압 측정,혈압 검사,검사
체온 측정,열 검사,검사
맥박 측정,심장 박동 검사,검사
산소포화도,혈액 속 산소 수치,검사
X-ray 촬영,몸속 사진 검사,검사
CT 촬영,몸속 단층 사진 검사,검사
MRI 검사,몸속 정밀 촬영 검사,검사
초음파 검사,초음파 촬영 검사,검사
심전도 검사,심장 전기 검사,검사
내시경 검사,몸 안을 카메라로 보는 검사,검사
위내시경,위 카메라 검사,검사
대장내시경,대장 카메라 검사,검사
조직검사,조직 채취 검사,검사
혈당검사,혈당 수치 검사,검사
콜레스테롤 검사,혈관 건강 검사,검사
종합검진,전체 건강검진,검사
건강검진,건강 상태 검사,검사
추적 검사,다시 검사하기,검사
입원,병실에서 치료받음,입원/병실
퇴원,병원에서 나감,입원/병실
병실,입원하는 방,입원/병실
1인실,혼자 쓰는 병실,입원/병실
다인실,여럿이 쓰는 병실,입원/병실
대기실,순서를 기다리는 곳,입원/병실
처치실,치료하는 방,입원/병실
수술실,수술하는 방,입원/병실
회복실,회복하는 방,입원/병실
보호자,환자를 돌보는 가족,입원/병실
간호사 호출,간호사 부르기,입원/병실
외래 환자,입원하지 않는 환자,입원/병실
입원 환자,병실에서 치료받는 환자,입원/병실
복약지도,약 먹는 방법 설명,약물
처방 약,의사가 준 약,약물
복용,약 먹기,약물
투약,약 사용,약물
용법,약 먹는 방법,약물
용량,약 먹는 양,약물
부작용,약의 원하지 않는 증상,약물
예방접종,병을 예방하는 주사,약물
독감 예방접종,독감 예방 주사,약물
백신,질병 예방 약,약물
금식,음식을 먹지 않음,주의사항
알레르기,특정 물질에 대한 이상 반응,주의사항
경과 관찰,상태 지켜보기,주의사항
정기 검진,주기적으로 받는 검사,주의사항
진료 순서,진료받는 차례,주의사항
고혈압,혈압이 높은 상태,질환
당뇨병,혈당이 높은 질병,질환
관절염,관절에 염증이 생긴 질환,질환
골절,뼈가 부러짐,질환
염좌,인대가 늘어남,질환
만성질환,오래 지속되는 질병,질환
재활치료,몸 기능 회복 치료,질환
물리치료,기계를 이용한 치료,질환
주사,약을 몸에 넣는 치료,질환
